Title,Rating,Reviews,Type,Address,Open State,Phone,Website,Description,Service Options,Latitude,Longitude,Place URL,Data ID
Lahori Barbecue Rooftop,4.8,"2,580",Barbecue,"81CII, Off, MM Alam Rd",,,,Open 24 hours,Dine-inKerbside pickupNo-contact delivery,31.5102637,74.3486976,https://www.google.com/maps/place/Lahori+Barbecue+Rooftop/data=!4m7!3m6!1s0x391904505c565a97:0xd82e2b10178eb389!8m2!3d31.5102637!4d74.3486976!16s%2Fg%2F11gdrf7g_6!19sChIJl1pWXFAEGTkRibOOFxArLtg?authuser=0&hl=en&rclk=1,0x391904505c565a97:0xd82e2b10178eb389
Chick on Fire,4.4,62,Restaurant,Abid Rd,,,,Open 24 hours,Dine-inDrive-throughNo-contact delivery,31.4927136,74.3691166,https://www.google.com/maps/place/Chick+on+Fire/data=!4m7!3m6!1s0x39190522ec106735:0xe4c35293390e40a7!8m2!3d31.4927136!4d74.3691166!16s%2Fg%2F11sk7fbmrp!19sChIJNWcQ7CIFGTkRp0AOOZNSw-Q?authuser=0&hl=en&rclk=1,0x39190522ec106735:0xe4c35293390e40a7
El Momento Lahore,4.3,852,Steak,"Floor, Building 43-L2, Ground, Mini Market, MM Alam Rd",,,,Open ⋅ Closes 12 am,Dine-inKerbside pickupNo-contact delivery,31.5205472,74.3516536,https://www.google.com/maps/place/El+Momento+Lahore/data=!4m7!3m6!1s0x39190531d6a9c395:0xf36ad980a863bc17!8m2!3d31.5205472!4d74.3516536!16s%2Fg%2F11tmsn6xh6!19sChIJlcOp1jEFGTkRF7xjqIDZavM?authuser=0&hl=en&rclk=1,0x39190531d6a9c395:0xf36ad980a863bc17
Coco Cubano Gulberg,4.5,"3,214",Cuban,14-C 1 MM Alam Rd,,,,Open ⋅ Closes 11 pm,Dine-inTakeawayNo-contact delivery,31.516942,74.3514556,https://www.google.com/maps/place/Coco+Cubano+Gulberg/data=!4m7!3m6!1s0x391905fb56c1626b:0xeaf7df67324b142c!8m2!3d31.516942!4d74.3514556!16s%2Fg%2F11fqbpn0h6!19sChIJa2LBVvsFGTkRLBRLMmff9-o?authuser=0&hl=en&rclk=1,0x391905fb56c1626b:0xeaf7df67324b142c
Spice Bazaar,4.3,"14,219",Pakistani,"T-01, Tipu Rd, off MM Alam Road",,,,Open ⋅ Closes 11 pm,Dine-inKerbside pickupNo-contact delivery,31.5187392,74.3550669,https://www.google.com/maps/place/Spice+Bazaar/data=!4m7!3m6!1s0x391904559748ab4f:0xd30dd8a06dbec09b!8m2!3d31.5187392!4d74.3550669!16s%2Fg%2F11bymsnvf6!19sChIJT6tIl1UEGTkRm8C-baDYDdM?authuser=0&hl=en&rclk=1,0x391904559748ab4f:0xd30dd8a06dbec09b
Lahore,4.0,5,Chicken,F9P8+2JQ Walton,,,,Open 24 hours,Dine-inTakeaway,31.4850761,74.3666207,https://www.google.com/maps/place/Lahore/data=!4m7!3m6!1s0x391905bbe79224bf:0xedbc603be12a9e8d!8m2!3d31.4850761!4d74.3666207!16s%2Fg%2F11kb5dr86z!19sChIJvySS57sFGTkRjZ4q4TtgvO0?authuser=0&hl=en&rclk=1,0x391905bbe79224bf:0xedbc603be12a9e8d
MIAN RESTAURANT,4.3,287,Restaurant,"Barket Market, 31",,,,Open 24 hours,Dine-inDrive-throughNo-contact delivery,31.4991638,74.320265,https://www.google.com/maps/place/MIAN+RESTAURANT/data=!4m7!3m6!1s0x39190568c965f6bb:0xb763a167aa613f69!8m2!3d31.4991638!4d74.320265!16s%2Fg%2F11rn0515b0!19sChIJu_ZlyWgFGTkRaT9hqmehY7c?authuser=0&hl=en&rclk=1,0x39190568c965f6bb:0xb763a167aa613f69
Fuchsia Kitchen,4.3,"2,321",Asian Fusion,119 / E 1 Hali Rd,,,,Open ⋅ Closes 12 am,Dine-inTakeawayDelivery,31.5139011,74.3407929,https://www.google.com/maps/place/Fuchsia+Kitchen/data=!4m7!3m6!1s0x3919045eb5e2f049:0x20e5e87f3fad0bc!8m2!3d31.5139011!4d74.3407929!16s%2Fg%2F11fxwpll1y!19sChIJSfDitV4EGTkRvND684deDgI?authuser=0&hl=en&rclk=1,0x3919045eb5e2f049:0x20e5e87f3fad0bc
The Canvas,4.6,299,Pakistani,M,,,,Open ⋅ Closes 12 am,Dine-inDrive-throughNo-contact delivery,31.4733834,74.4693179,https://www.google.com/maps/place/The+Canvas/data=!4m7!3m6!1s0x391909006d89a2eb:0x61472e97812ab411!8m2!3d31.4733834!4d74.4693179!16s%2Fg%2F11vqj85qnr!19sChIJ66KJbQAJGTkREbQqgZcuR2E?authuser=0&hl=en&rclk=1,0x391909006d89a2eb:0x61472e97812ab411
Grill Galleria,4.7,13,Restaurant,"DHA Phase 5 M Sector, Ring Road, Service Lane",,,,,Dine-inTakeawayDelivery,31.4564773,74.4195857,https://www.google.com/maps/place/Grill+Galleria/data=!4m7!3m6!1s0x3919092411041a63:0xb832baf8113be1f!8m2!3d31.4564773!4d74.4195857!16s%2Fg%2F11rj4mb0xz!19sChIJYxoEESQJGTkRH74Tga8rgws?authuser=0&hl=en&rclk=1,0x3919092411041a63:0xb832baf8113be1f
